Category,Name,Value,Weight,Stats
CLOTHING,Toga (coarse),0.08,null,
MISC,Lantern (Hooded),7.0,2.0,
WEAPONS,Polearm (Giant-kin Halberd),25.0,35.0,(SM) 1d12 (L) 2d8
WEAPONS,Sword (Great Scimitar),60.0,16.0,(SM) 2d8 (L) 4d4
WEAPONS,Knife (Throwing),3.0,3.0,(SM) 1d4+1 (L) 1d4+1
WEAPONS,Spear (Stone),0.08,5.0,(SM) 1H 1d4 / 2H 1d6 (L) 1H 1d6 / 2H 2d4
WEAPONS,Pick (Horseman's),7.0,4.0,(SM) 1d4+1 (L) 1d4
WEAPONS,Arrow (Mail-Piercer),0.05,0.1,(SM) 1d6 (L) 1d6
FOOD_LODGING,Inn lodging (Poor; day),0.05,null,
MISC,Signet ring or personal seal,5.0,0.1,
ANIMALS,Boar,10.0,null,
MISC,Rope (Hemp),1.0,20.0,per 50 ft.
WEAPONS,Caltrop,0.2,0.2,(SM) 1 (L) 1d2
MISC,Grappling hook,0.8,4.0,
CLOTHING,Robe (Common),0.9,null,
WEAPONS,Sword (Scimitar),15.0,4.0,(SM) 1d8 (L) 1d8
MISC,Sack (Small),0.05,0.1,
WEAPONS,Mace (Bladeback),15.0,16.0,(SM) 1d8+1 (L) 1d8
MISC,Quiver,0.8,1.0,
WEAPONS,Staff (Hamanu's),10.0,5.0,(SM) 1d8 (L) 1d8
WEAPONS,Hora,1.0,0.5,(SM) 1d3 (L) 1d3
FOOD_LODGING,Inn lodging (Common; week),3.0,null,
CLOTHING,Gown,1.2,null,
WEAPONS,Sword (Falchion),17.0,8.0,(SM) 1d6+1 (L) 2d4
WEAPONS,Polearm (Crusher),24.0,9.0,(SM) 1d4 (L) 1d3
MISC,Lock (Poor),20.0,1.0,
WEAPONS,Lotulis,15.0,10.0,(SM) 1d10 (L) 1d12
MISC,Magnifying glass,100.0,0.1,
WEAPONS,Flindbar,8.0,6.0,(SM) 1d4 (L) 1d4
WEAPONS,Impaler,0.04,5.0,(SM) 1d8 (L) 1d8
WEAPONS,Spike (Elbow),1.0,2.0,(SM) 1d4 (L) 1d4
CLOTHING,Vest,0.6,null,
